        时间                         覆盖率%                       累计覆盖率% 
2024/1/1 00:07:01            0.04008660920835714                    0.0
2024/1/1 00:07:02            0.08073259593510937                    0.0
2024/1/1 00:07:03            0.08073259593510937                    0.0
2024/1/1 00:07:04            0.12025080960190568                    0.0
2024/1/1 00:07:05            0.12025080960190568                    0.0
2024/1/1 00:07:06            0.16144702998437196                    0.0
2024/1/1 00:07:07            0.16144702998437196                    0.0
2024/1/1 00:07:08            0.16144702998437196                    0.0
2024/1/1 00:07:09            0.16144702998437196                    0.0
2024/1/1 00:07:10            0.16144702998437196                    0.0
2024/1/1 00:07:11            0.24212514434770183                    0.0
2024/1/1 00:07:12            0.24212514434770183                    0.0
2024/1/1 00:07:13            0.24212514434770183                    0.0
2024/1/1 00:07:14            0.24212514434770183                    0.0
2024/1/1 00:07:15            0.2827711310744546                    0.0
2024/1/1 00:07:16            0.32285774028281233                    0.16146519187021985
2024/1/1 00:07:17            0.32285774028281233                    0.16146519187021985
2024/1/1 00:07:18            0.4063227237260998                    0.16146519187021985
2024/1/1 00:07:19            0.4063227237260998                    0.16146519187021985
2024/1/1 00:07:20            0.4063227237260998                    0.16146519187021985
2024/1/1 00:07:21            0.44584093739289665                    0.16146519187021985
2024/1/1 00:07:22            0.4875781237859185                    0.3273320054211963
2024/1/1 00:07:23            0.4875781237859185                    0.3273320054211963
2024/1/1 00:07:24            0.5259330057730135                    0.3273320054211963
2024/1/1 00:07:25            0.5259330057730135                    0.3273320054211963
2024/1/1 00:07:26            0.5259330057730135                    0.3273320054211963
2024/1/1 00:07:27            0.5687238365735395                    0.3273320054211963
2024/1/1 00:07:28            0.6093698233002923                    0.3273320054211963
2024/1/1 00:07:29            0.6516385863611136                    0.3273320054211963
2024/1/1 00:07:30            0.7317757347138893                    0.48425028869540687
2024/1/1 00:07:31            0.7718623439222471                    0.48425028869540687
2024/1/1 00:07:32            0.7718623439222471                    0.48425028869540687
2024/1/1 00:07:33            0.7718623439222471                    0.48425028869540687
2024/1/1 00:07:34            0.813599530315269                    0.48425028869540687
2024/1/1 00:07:35            0.813599530315269                    0.48425028869540687
2024/1/1 00:07:36            0.813599530315269                    0.48425028869540687
2024/1/1 00:07:37            0.8996936332817568                    0.6543694764181015
2024/1/1 00:07:38            0.9392118469485535                    0.6543694764181015
2024/1/1 00:07:39            0.9814806100093748                    0.6543694764181015
2024/1/1 00:07:40            0.9814806100093748                    0.6543694764181015
2024/1/1 00:07:41            0.9814806100093748                    0.6543694764181015
2024/1/1 00:07:42            1.0226768303918412                    0.6543694764181015
2024/1/1 00:07:43            1.0633228171185933                    0.6543694764181015
2024/1/1 00:07:44            1.0633228171185933                    0.6543694764181015
2024/1/1 00:07:45            1.1050600035116145                    0.8202362899690779
2024/1/1 00:07:46            1.1911541064781026                    0.8202362899690779
2024/1/1 00:07:47            1.2695955976735551                    0.9817014818392977
2024/1/1 00:07:48            1.2695955976735551                    0.9817014818392977
2024/1/1 00:07:49            1.3523424975203961                    0.9817014818392977
2024/1/1 00:07:50            1.3946112605812169                    0.9817014818392977
2024/1/1 00:07:51            1.3946112605812169                    0.9817014818392977
2024/1/1 00:07:52            1.432371468137316                    0.9817014818392977
2024/1/1 00:07:53            1.432371468137316                    0.9817014818392977
2024/1/1 00:07:54            1.432371468137316                    0.9817014818392977
2024/1/1 00:07:55            1.5563891743525406                    0.9817014818392977
2024/1/1 00:07:56            1.5563891743525406                    0.9817014818392977
2024/1/1 00:07:57            1.6847231634226214                    1.3260391576469794
2024/1/1 00:07:58            1.725369150149374                    1.3260391576469794
2024/1/1 00:07:59            1.725369150149374                    1.3260391576469794
2024/1/1 00:08:00            1.725369150149374                    1.3260391576469794
2024/1/1 00:08:01            1.7676379132101956                    1.3260391576469794
2024/1/1 00:08:02            1.7676379132101956                    1.3260391576469794
2024/1/1 00:08:03            1.8077245224185534                    1.3260391576469794
2024/1/1 00:08:04            1.8520233392617151                    1.3260391576469794
2024/1/1 00:08:05            1.8953266114276766                    1.3260391576469794
2024/1/1 00:08:06            1.939132583304209                    1.3260391576469794
2024/1/1 00:08:07            1.9819234141047355                    1.3260391576469794
2024/1/1 00:08:08            1.9819234141047355                    1.3260391576469794
2024/1/1 00:08:09            2.0648568208802236                    1.491905971197956
2024/1/1 00:08:10            2.1037977488505324                    1.6488242544721667
2024/1/1 00:08:11            2.148096565693695                    1.6488242544721667
2024/1/1 00:08:12            2.1903653287545155                    1.6488242544721667
2024/1/1 00:08:13            2.269366197468363                    1.6488242544721667
2024/1/1 00:08:14            2.3521876833011217                    1.6488242544721667
2024/1/1 00:08:15            2.3959936551776537                    1.8230427425571534
2024/1/1 00:08:16            2.3959936551776537                    1.8230427425571534
2024/1/1 00:08:17            2.4387844859781795                    1.9931619302798478
2024/1/1 00:08:18            2.483083302821342                    1.9931619302798478
2024/1/1 00:08:19            2.483083302821342                    1.9931619302798478
2024/1/1 00:08:20            2.567951608223432                    2.154627122150068
2024/1/1 00:08:21            2.567951608223432                    2.154627122150068
2024/1/1 00:08:22            2.6096887946164538                    2.154627122150068
2024/1/1 00:08:23            2.694690986875453                    2.154627122150068
2024/1/1 00:08:24            2.7802630221022353                    2.154627122150068
2024/1/1 00:08:25            2.7802630221022353                    2.154627122150068
2024/1/1 00:08:26            2.869343535139131                    2.3327881482238584
2024/1/1 00:08:27            2.869343535139131                    2.3327881482238584
2024/1/1 00:08:28            2.9527803526664105                    2.3327881482238584
2024/1/1 00:08:29            2.9527803526664105                    2.3327881482238584
2024/1/1 00:08:30            2.9527803526664105                    2.3327881482238584
2024/1/1 00:08:31            2.9527803526664105                    2.3327881482238584
2024/1/1 00:08:32            2.9527803526664105                    2.3327881482238584
2024/1/1 00:08:33            3.119827162373779                    2.5070066363088452
2024/1/1 00:08:34            3.2491664377759246                    2.5070066363088452
2024/1/1 00:08:35            3.2491664377759246                    2.5070066363088452
2024/1/1 00:08:36            3.2914352008367453                    2.5070066363088452
2024/1/1 00:08:37            3.331521810045103                    2.5070066363088452
2024/1/1 00:08:38            3.3727180304275697                    2.6728734498598214
